name,category,excepnses,price_gross,unit_profit,marginal_profit,food_cost
Fuji roll,ROLKI AUTORSKIE,14.86,67.0,40.61,73.21%,26.8%
Feliks łosoś,ROLKI AUTORSKIE,9.74,45.0,27.52,73.86%,26.1%
Green fresh roll,ROLKI AUTORSKIE,9.93,52.0,33.13,76.94%,23.1%
PRZ Krewetki w tempurze,PRZEKĄSKI,11.29,40.0,16.43,59.26%,40.7%
PRZ Kalmar panko,PRZEKĄSKI,6.03,35.0,18.22,75.12%,24.9%
Wakame,PRZEKĄSKI,1.96,15.0,10.46,84.24%,15.8%
Phila ŁOSOŚ,PHILADELPHIA,14.42,55.0,31.12,68.34%,31.7%
Phila TUNA,PHILADELPHIA,15.3,62.0,36.03,70.19%,29.8%
Philadelia MIX,PHILADELPHIA,14.28,55.0,31.26,68.65%,31.4%
Phila EBI,PHILADELPHIA,11.59,55.0,26.52,69.59%,30.4%
Phila CHEDDAR,PHILADELPHIA,14.47,60.0,35.21,70.87%,29.1%
Phila GRILL,PHILADELPHIA,15.33,65.0,38.49,71.52%,28.5%
Black Philadelphia,PHILADELPHIA,15.04,65.0,38.78,72.06%,27.9%
Phila WĘGORZ,PHILADELPHIA,14.02,60.0,35.66,71.78%,28.2%
Phila CHEESE,PHILADELPHIA,12.18,55.0,33.36,73.25%,26.7%
Nigiri ebi,NIGIRI,4.29,20.0,9.57,69.06%,30.9%
Nigiri tuna,NIGIRI,6.74,28.0,16.44,70.93%,29.1%
Nigiri unagi,NIGIRI,6.74,28.0,16.44,70.93%,29.1%
Nigiri łosoś,NIGIRI,5.65,26.0,15.88,73.77%,26.2%
Nigiri awokado,NIGIRI,4.34,20.0,12.22,73.79%,26.2%
Hoso krew panko,HOSOMAKI,7.4,28.0,12.01,61.87%,38.1%
Hoso krewetka,HOSOMAKI,6.58,26.0,11.44,63.48%,36.5%
Hoso tuna,HOSOMAKI,7.13,28.0,16.05,69.25%,30.8%
Hoso grill,HOSOMAKI,6.12,25.0,14.58,70.45%,29.5%
Hoso surowy,HOSOMAKI,6.01,26.0,15.52,72.09%,27.9%
Hoso mango,HOSOMAKI,4.13,18.0,10.77,72.30%,27.7%
Hoso kanpyo,HOSOMAKI,3.88,18.0,11.02,73.95%,26.1%
Hoso ogórek,HOSOMAKI,3.93,18.0,10.97,73.64%,26.4%
Hoso serek,HOSOMAKI,3.91,18.0,10.99,73.74%,26.3%
Hoso awokado,HOSOMAKI,4.73,22.0,13.49,74.04%,26.0%
Hoso oshinko,HOSOMAKI,3.53,17.0,10.54,74.91%,25.1%
Gunk Ebi,GUNKANY,6.4,30.0,14.39,69.22%,30.8%
Gunk Maguro,GUNKANY,6.65,32.0,19.85,74.91%,25.1%
Gunk Łosoś,GUNKANY,5.81,28.0,17.38,74.95%,25.0%
Futo EBI,FUTOMAKI,8.33,35.0,15.93,65.67%,34.3%
Fibonacci roll,FUTOMAKI,15.21,70.0,33.3,68.64%,31.4%
Futo KREWETKA TEMPURA,FUTOMAKI,8.72,37.0,16.92,66.00%,34.0%
Futo TATAR,FUTOMAKI,10.75,42.0,24.02,69.08%,30.9%
Futo KRAB TEMPURA,FUTOMAKI,13.88,65.0,31.17,69.19%,30.8%
Futo FIRE HARMONY,FUTOMAKI,10.7,47.0,21.87,67.14%,32.9%
Futo TUNA,FUTOMAKI,8.83,37.0,21.8,71.16%,28.8%
Futo SUROWY,FUTOMAKI,7.81,35.0,21.17,73.06%,26.9%
Futo ŁOSOŚ TEMPURA,FUTOMAKI,8.84,40.0,24.28,73.31%,26.7%
Futo GRILL,FUTOMAKI,7.51,35.0,21.47,74.10%,25.9%
Futo KALMAR TEMPURA,FUTOMAKI,5.7,32.0,16.48,74.30%,25.7%
Futo FRESH ROLL,FUTOMAKI,6.39,32.0,20.11,75.89%,24.1%
Calif krewetka 16/20,CALIFORNIA,15.05,60.0,26.53,63.80%,36.2%
Calif LOSOS I SEZAM,CALIFORNIA,11.69,50.0,29.71,71.76%,28.2%
California TUNA,CALIFORNIA,13.22,55.0,32.32,70.97%,29.0%
California KREW PANKO,CALIFORNIA,10.5,50.0,24.15,69.71%,30.3%
California SUROWY,CALIFORNIA,12.98,56.0,33.39,72.00%,28.0%
California RAINBOW,CALIFORNIA,15.34,65.0,38.48,71.50%,28.5%
California GRILL,CALIFORNIA,11.5,55.0,34.04,74.75%,25.3%
C Black Surowy,CALIFORNIA,12.98,70.0,44.98,77.61%,22.4%
California KRAB,CALIFORNIA,7.71,45.0,29.55,79.30%,20.7%
Salmon wakame Bowl,BOWL,12.03,49.0,28.54,70.35%,29.7%
Shrimp Bowl,BOWL,14.75,50.0,19.9,57.44%,42.6%
Crunch tempura Bowl,BOWL,14.99,52.0,21.05,58.40%,41.6%
Phila KRAB-MIX,PHILADELPHIA,12.66,55.0,32.88,72.21%,27.8%
Miso ramen,RAMEN,12.71,45.0,24.55,65.89%,34.1%
Tantamen ramen,RAMEN,18.48,55.0,27.06,59.42%,40.6%
Zestaw Philadelphia + Krabs Burger -50%,SUSHI BURGER,50.30,170,90.46,64.26%,35.7%
